NU_INSCRICAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
210052817648,G,F,E,D,4.0,G,A,D,D,B,A,B,B,B,B,B,A,B,B,B,B,D,A,B,B
210054341230,G,G,E,E,3.0,M,B,C,C,C,A,B,A,B,A,B,A,B,C,A,B,D,A,C,B
210053907138,C,C,C,B,4.0,P,A,C,E,C,B,B,B,B,B,B,A,B,E,A,B,E,A,C,B
210051554174,D,D,F,F,4.0,C,A,B,C,C,A,B,B,B,A,B,A,B,B,B,B,D,A,A,B
210053954624,F,G,D,E,4.0,P,A,E,D,C,A,B,B,B,A,B,B,B,D,B,B,E,B,C,B
210054369072,H,C,B,B,7.0,F,A,B,D,B,B,B,B,B,B,B,A,A,B,A,A,E,A,B,B
210051353736,B,A,F,F,4.0,D,A,B,C,A,B,B,A,B,A,B,A,A,B,A,A,C,A,B,B
210051526762,B,C,A,A,2.0,B,A,B,B,A,B,B,A,A,A,A,A,A,B,A,A,B,A,A,A
210051390369,H,E,F,B,2.0,B,A,B,B,A,A,B,B,A,A,A,A,A,B,A,A,B,A,A,B
210054371866,D,E,F,B,5.0,F,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,B,B
210053500037,E,D,E,F,5.0,M,A,E,E,C,A,B,B,B,B,A,A,A,D,B,A,E,B,B,B
210052173967,F,G,E,D,3.0,N,B,D,C,B,A,B,B,B,B,B,A,B,C,A,B,D,B,D,B
210053515758,E,E,C,B,4.0,F,A,B,C,B,A,B,A,B,A,A,A,A,B,B,A,C,A,A,B
210051331083,E,G,D,D,4.0,K,A,D,D,B,B,B,B,B,A,B,A,B,C,A,B,E,A,D,B
210052028789,B,B,B,C,3.0,G,A,B,C,A,A,B,B,B,A,B,A,A,B,A,A,D,A,B,B
210053969618,E,E,D,B,4.0,D,A,C,C,C,A,B,B,B,B,B,A,B,B,B,B,E,A,B,B
210053049033,F,D,D,B,6.0,D,A,D,D,B,A,B,B,A,A,A,A,B,B,A,A,E,B,D,B
210052059024,H,F,F,B,2.0,G,A,B,B,A,A,B,B,B,A,B,A,A,B,A,B,D,A,A,B
210053121903,C,C,A,B,2.0,D,A,B,C,A,A,B,B,B,A,A,A,B,A,A,A,C,A,A,B
210053965461,E,E,D,D,4.0,H,A,B,C,B,A,C,B,B,A,B,A,B,C,A,B,E,B,D,B
210053923196,E,E,B,B,4.0,D,A,B,D,B,A,B,A,B,A,B,A,A,B,A,A,D,A,B,B
210052430732,E,F,D,D,3.0,C,A,D,C,B,B,B,B,B,A,B,A,A,C,A,B,D,A,B,B
210054366312,F,F,D,D,2.0,I,A,D,C,B,A,B,B,B,A,B,A,B,C,A,A,C,A,B,B
210051766192,C,F,B,B,3.0,B,A,B,B,A,A,B,A,A,A,B,A,A,B,A,A,B,A,B,B
210054351086,C,D,C,C,3.0,E,A,C,C,A,A,B,A,B,A,A,A,A,B,B,A,C,A,A,B
210051244794,B,B,D,B,5.0,G,A,C,D,C,B,B,B,B,A,A,A,B,B,A,A,E,A,B,B
210052503289,F,F,D,D,4.0,E,A,D,D,C,A,B,B,B,A,B,A,B,C,A,A,E,A,D,B
210052791885,B,C,F,B,4.0,D,A,B,C,B,A,B,B,B,A,B,A,A,C,A,A,E,A,B,B
210054282248,B,C,C,B,4.0,E,A,B,B,A,A,B,A,B,A,B,A,A,A,A,A,B,A,A,A
210053961373,G,F,C,D,4.0,K,A,C,C,B,B,B,B,B,A,B,A,B,D,A,B,E,A,B,B
210051672643,B,B,A,B,3.0,C,A,B,C,B,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
210051258110,D,C,C,B,3.0,E,A,C,C,B,B,B,A,B,A,B,A,A,B,A,A,D,A,B,B
210051083142,H,B,A,B,2.0,B,A,B,C,A,A,B,A,B,A,B,A,B,C,A,A,C,A,B,B
210051415710,G,G,E,E,3.0,Q,D,E,D,C,A,C,C,B,A,B,A,B,D,B,B,D,B,D,B
210053491301,E,E,E,E,2.0,I,B,E,E,B,A,B,B,B,B,B,B,B,D,A,B,C,B,A,B
210052157323,E,F,C,B,4.0,H,A,D,D,B,A,B,A,B,A,B,A,A,B,A,A,E,A,B,B
210053953848,E,F,D,E,4.0,H,A,C,D,B,A,C,D,B,B,B,B,A,C,A,A,E,A,C,B
210051743148,F,F,D,D,4.0,G,B,C,D,C,A,B,B,B,B,B,A,B,D,A,A,D,A,D,B
210052410337,F,G,F,F,4.0,M,A,B,D,B,A,B,B,B,A,B,A,B,D,B,B,E,B,D,B
210051219510,D,E,A,D,2.0,C,A,B,C,A,A,B,B,B,B,B,A,A,B,A,A,C,A,B,B
210052397193,H,C,C,B,3.0,J,A,D,C,C,A,B,A,B,B,A,A,B,D,A,B,D,A,B,B
210052230618,E,E,F,B,2.0,F,A,C,C,C,A,B,B,B,B,B,A,B,B,A,A,C,A,C,B
210053064683,B,D,B,B,2.0,A,A,B,B,A,A,B,B,B,A,A,A,A,B,A,A,C,A,A,B
210053526373,E,D,D,B,2.0,B,A,B,B,A,A,B,B,B,A,B,A,B,C,A,A,C,A,A,B
210052217406,C,C,C,B,11.0,I,A,D,E,C,A,B,A,B,A,B,A,B,C,A,B,E,A,C,B
210053963949,F,G,D,D,3.0,L,B,B,D,C,A,B,B,B,B,B,B,B,D,B,B,E,B,B,B
210052205994,E,E,D,B,6.0,F,A,C,C,B,A,B,B,B,A,A,A,B,C,A,A,E,A,C,B
210052647174,G,F,D,E,4.0,O,A,C,D,C,A,B,B,B,A,B,A,A,E,B,B,E,B,D,B
210052191887,G,E,E,B,3.0,F,A,C,C,B,B,B,B,B,B,B,A,B,C,A,A,E,A,D,B
210052101934,E,E,C,B,4.0,F,A,D,E,B,B,B,A,B,A,B,A,B,B,A,A,E,A,C,B
210054375128,E,E,C,F,5.0,C,A,C,D,B,A,B,B,B,A,B,A,B,B,B,A,D,B,B,B
210051485185,E,F,E,E,4.0,C,D,E,E,C,A,B,B,B,A,B,A,B,E,A,B,D,B,D,B
210051903207,E,E,C,B,3.0,F,A,B,B,B,A,B,A,B,A,B,A,A,B,A,A,D,A,B,B
210052418972,C,E,C,B,4.0,F,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,C,B,B,B
210053509350,E,E,B,B,4.0,E,A,B,D,B,A,B,B,B,B,A,A,A,C,A,A,E,B,A,B
210054389548,E,E,C,B,3.0,C,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,D,A,B,B
210053491642,G,E,D,D,4.0,E,A,B,D,B,A,B,B,B,A,B,A,A,B,A,A,D,A,B,B
210052305468,E,E,C,B,3.0,C,A,B,C,B,A,B,B,B,A,B,A,A,B,B,A,C,B,B,B
210051509675,E,E,B,B,5.0,D,A,B,C,A,B,B,B,B,A,B,A,A,B,A,A,D,A,B,A
210053535939,C,E,B,B,5.0,C,A,B,B,B,A,B,B,A,A,B,A,A,B,A,A,C,A,A,B
210051889472,F,E,D,D,3.0,E,A,E,D,C,B,B,B,A,A,B,A,A,C,A,A,D,A,C,B
210051171932,H,D,F,F,4.0,D,A,B,C,A,A,B,B,B,A,B,A,A,B,B,A,D,B,B,B
210052810786,D,D,C,C,2.0,B,A,B,B,A,A,B,B,B,B,B,A,A,A,A,A,C,A,B,B
