consumer_id,payment_type,payment_date,payment_amount
215553816837,957521 CREDIT TYPE 86491,2023-02-05,R$ 3936.6
594284671075,58189 credit ELO,2023-03-14,R$ 1345.9
276397454361,BOLETO 642058,2022-01-11,R$ 4171.9
286257776252,419915 debit card 355557,2021-01-12,R$ 4844.9
255541826046,389211 credit ELO,2021-11-28,R$ 15084.7
36738166061,948935 debit card 9096,2021-03-22,R$ 11457.0
346748702943,DEBIT 333067,2021-06-09,R$ 14915.2
537718118852,CREDIT TYPE 283837,2021-08-13,R$ 2982.2
299991443154,117767 BOLETO,2021-12-02,R$ 5642.2
298728267101,CREDIT TYPE 322931,2021-09-21,R$ 7721.4
435001420498,PIX 525177,2022-12-21,R$ 13067.4
866988917063,782698 PIX@@ 14597,2023-02-27,R$ 3015.5
634087794043,458644 PIX@@,2020-11-04,R$ 11381.6
432181322622,454029 piX,2020-10-14,R$ 3719.2
866988917063,542972 Pix,2022-01-04,R$ 14830.6
288349499752,BOLETO++ 506888,2021-07-05,R$ 11813.3
285060886299,580209 Boleto 626850,2023-03-03,R$ 3044.4
364560919590,425120 BOLETO++,2021-01-12,R$ 14264.5
537718118852,18941 BOLETO 805566,2022-04-04,R$ 14760.6
80944542022,945053 Pix,2023-03-15,R$ 1946.6
246014869667,piX 534031,2022-12-13,R$ 10233.2
285060886299,DEBIT 333067,2020-07-13,R$ 14402.7
432181322622,290267 debit card 28249,2022-10-17,R$ 14842.6
876385294853,899403 DEBIT 976158,2023-01-04,R$ 6272.4
524612336731,credit MASTERCARD 784284,2020-01-29,R$ 5745.5
346748702943,PIX 480554,2022-11-12,R$ 2998.4
343866395672,982484 debit card 25249,2020-10-17,R$ 853.2
768789776296,pix 361624,2021-06-13,R$ 11980.6
36738166061,debit card 4047,2020-01-16,R$ 13922.2
271043982658,516467 debit card,2022-08-28,R$ 7900.5
438089492676,credit MASTERCARD 784284,2021-03-04,R$ 4803.6
576658664149,DEBIT 957515,2020-05-02,R$ 343.0
991878575072,BOLETO++ 980588,2020-03-30,R$ 7114.0
276397454361,414671 debit card,2021-03-08,R$ 2101.7
666005766278,credit MASTERCARD 745890,2021-01-21,R$ 11435.1
364560919590,151708 piX 378184,2022-10-27,R$ 12949.4
438089492676,365675 debit card 82682,2022-08-15,R$ 14551.0
435001420498,DEBIT 504016,2020-09-22,R$ 2753.4
515648004009,603230 pix 486771,2020-03-26,R$ 7576.4
666005766278,810774 DEBIT 354820,2022-10-11,R$ 3676.6
375616648160,170985 credit_card 426045,2020-11-11,R$ 6785.9
681306632429,989544 PIX,2022-06-27,R$ 14037.9
556463592229,232166 PIX,2021-03-18,R$ 8438.3
94854400223,315994 DEBIT,2021-09-20,R$ 14848.4
792030406207,365675 debit card 82682,2020-03-28,R$ 11170.4
681306632429,261823 debit card,2020-08-12,R$ 14459.5
924529270294,829497 DEBIT,2020-05-13,R$ 8176.6
786587308278,14912 credit MASTERCARD,2020-10-19,R$ 10493.8
677039694449,903694 credit ELO 614209,2023-01-23,R$ 13271.1
909987131450,PIX 143223,2020-10-31,R$ 9067.9
792030406207,296880 credit ELO 893128,2023-01-24,R$ 4494.2
671730620024,170985 credit_card 426045,2020-06-17,R$ 7362.5
909987131450,250382 Boleto 18871,2021-06-15,R$ 5434.0
666005766278,524063 debit card 201331,2022-01-31,R$ 8856.9
213868862794,boleto 877587,2021-03-17,R$ 5694.0
344181374711,268645 Boleto,2022-11-01,R$ 14870.6
880010302690,237342 CREDIT TYPE 569601,2023-01-30,R$ 9776.0
264206396408,credit_card 648831,2020-10-06,R$ 5931.3
611332772073,885652 DEBIT 337491,2022-01-12,R$ 10098.6
280232672886,563253 debit card,2020-01-26,R$ 5844.9
563249531684,credit MASTERCARD 220266,2022-01-29,R$ 6218.3
99916484487,227054 BOLETO++,2021-03-22,R$ 2539.6
396813913637,782698 PIX@@ 14597,2020-07-13,R$ 10926.1
559423839138,debit card 311103,2020-03-03,R$ 484.9
417928180760,569986 BOLETO 776363,2022-11-28,R$ 2903.3
276397454361,438283 credit_card 887651,2022-11-06,R$ 10933.8
576658664149,debit card 48017,2020-03-01,R$ 3278.2
285060886299,piX 632520,2020-10-23,R$ 9222.1
446039262566,DEBIT 162341,2021-02-02,R$ 9862.7
83478781255,959565 boleto 355660,2020-09-15,R$ 4793.9
594284671075,piX 921258,2022-09-11,R$ 1890.6
576658664149,541429 CREDIT TYPE,2020-07-21,R$ 8686.9
634087794043,debit card 48017,2022-11-15,R$ 7643.4
559423839138,piX 820755,2023-01-22,R$ 14445.1
288349499752,credit 538872,2020-04-28,R$ 15049.8
768789776296,289275 boleto 882655,2021-07-16,R$ 5180.8
563249531684,247601 pix,2022-04-11,R$ 1228.4
364560919590,696907 DEBIT,2023-02-06,R$ 15260.6
548272197141,DEBIT 957515,2020-05-12,R$ 11591.6
364560919590,PIX 183937,2022-09-11,R$ 7221.3
524612336731,184934 BOLETO,2020-08-14,R$ 589.9
876385294853,718448 DEBIT 524811,2022-04-14,R$ 5950.2
806716553933,CREDIT TYPE 607988,2022-06-08,R$ 10896.4
31691588327,993216 debit card 783912,2020-09-21,R$ 10164.3
790761018077,249035 DEBIT,2022-11-09,R$ 1980.9
83478781255,811485 PIX 990313,2023-03-08,R$ 12249.9
36738166061,100994 piX 582431,2023-03-12,R$ 895.6
390322188868,296880 credit ELO 893128,2022-09-17,R$ 3093.9
213868862794,365675 debit card 82682,2021-03-06,R$ 11784.7
874586818177,533638 debit card,2020-08-13,R$ 1577.8
271043982658,52171 DEBIT 159844,2020-11-05,R$ 592.6
580873576795,4247 credit,2020-10-28,R$ 9242.3
435001420498,credit ELO 974158,2021-04-12,R$ 13880.1
375616648160,CREDIT TYPE 322931,2023-03-17,R$ 13176.4
587603190359,972253 PIX 968164,2021-11-15,R$ 6096.4
80944542022,697130 credit,2023-01-08,R$ 13129.8
213868862794,20184 DEBIT 873039,2022-02-16,R$ 4402.8
727387933243,553978 BOLETO++ 230439,2022-06-25,R$ 5113.4
557477458248,BOLETO++ 645556,2022-09-15,R$ 11619.3
472648277876,972253 PIX 968164,2022-03-07,R$ 5440.1
806716553933,811485 PIX 990313,2021-10-31,R$ 13245.9
483464196913,59667 pix 776898,2020-08-06,R$ 11411.9
446039262566,694948 Pix,2020-10-02,R$ 9542.8
375616648160,417036 Boleto 132168,2021-12-19,R$ 13905.9
634087794043,616690 CREDIT TYPE 887386,2021-09-09,R$ 3065.0
276397454361,debit card 351264,2020-02-07,R$ 12126.8
271043982658,83999 boleto 132875,2022-02-07,R$ 7667.0
36738166061,BOLETO++ 109224,2020-08-21,R$ 15477.8
677039694449,883740 credit 137718,2022-09-11,R$ 1798.2
554496297587,967907 boleto,2022-09-05,R$ 7568.7
524612336731,213638 DEBIT 26536,2022-06-14,R$ 2118.3
556463592229,634137 BOLETO,2022-04-27,R$ 8481.3
213868862794,832488 credit 95934,2021-01-06,R$ 7980.3
446039262566,325608 boleto,2022-01-14,R$ 10594.5
280232672886,765892 debit card 56325,2023-02-02,R$ 9529.6
213868862794,258599 boleto 496515,2023-03-18,R$ 3317.6
472648277876,494192 BOLETO++,2021-09-26,R$ 8929.8
299991443154,563253 debit card,2020-06-19,R$ 9370.7
611332772073,911948 debit card 447240,2022-10-06,R$ 5783.8
774463871553,43997 PIX 395126,2020-11-17,R$ 322.9
681306632429,830377 boleto,2023-02-06,R$ 5961.8
554496297587,562001 credit MASTERCARD,2021-10-12,R$ 2275.3
446039262566,662419 credit,2022-07-29,R$ 4600.2
515648004009,931752 PIX,2022-08-13,R$ 90.6
198700429310,258599 boleto 496515,2020-01-26,R$ 4267.8
343866395672,654456 PIX 493484,2022-12-07,R$ 1547.1
559423839138,704858 Boleto 551814,2020-03-23,R$ 705.8
99916484487,670492 credit,2021-02-24,R$ 11723.0
280232672886,30497 credit_card,2020-04-14,R$ 8426.4
298728267101,debit card 985934,2020-11-14,R$ 6854.0
576658664149,20184 DEBIT 873039,2021-05-31,R$ 15298.2
790761018077,Boleto 39818,2021-01-28,R$ 9789.4
298728267101,957725 boleto 85131,2020-09-09,R$ 11121.9
866988917063,credit_card 364090,2023-01-08,R$ 2719.2
346748702943,768887 BOLETO 748323,2022-01-25,R$ 4858.9
198700429310,credit_card 391212,2021-05-21,R$ 4848.7
417928180760,845654 DEBIT 351895,2020-12-04,R$ 14863.8
298728267101,credit ELO 974158,2022-02-09,R$ 11412.5
594284671075,454029 piX,2022-01-20,R$ 5939.4
550322955051,564962 piX,2022-07-21,R$ 14169.9
276397454361,521358 credit ELO,2020-03-15,R$ 4440.7
213868862794,475998 CREDIT TYPE,2021-12-04,R$ 9664.3
859675575665,credit MASTERCARD 361672,2021-09-06,R$ 6627.8
634087794043,832488 credit 95934,2021-05-23,R$ 5212.2
364560919590,563478 BOLETO++,2021-10-23,R$ 10981.2
483464196913,463959 pix,2021-01-18,R$ 14568.6
179211442849,454029 piX,2020-10-01,R$ 7552.6
556463592229,466419 boleto 448330,2022-07-17,R$ 10957.5
276397454361,credit 594981,2022-12-28,R$ 3137.3
284840717577,571681 piX 187932,2020-12-18,R$ 3878.2
768789776296,662419 credit,2022-10-05,R$ 7350.0
213868862794,425120 BOLETO++,2022-01-25,R$ 12294.4
594284671075,DEBIT 259207,2021-05-06,R$ 9735.9
774463871553,debit card 4047,2020-02-06,R$ 10750.2
537718118852,151708 piX 378184,2020-10-04,R$ 3589.7
634087794043,679673 Boleto 861516,2021-06-16,R$ 13526.7
288349499752,317783 debit card,2021-07-07,R$ 13769.9
144886524133,95763 boleto 245148,2021-05-24,R$ 2792.9
611332772073,BOLETO 774615,2020-12-05,R$ 7300.2
786587308278,BOLETO++ 455991,2021-08-23,R$ 11431.8
457509068524,58189 credit ELO,2022-08-14,R$ 8912.3
876385294853,999594 debit card 705168,2023-02-15,R$ 3213.2
909987131450,417154 debit card 609634,2021-12-18,R$ 512.7
790761018077,Boleto 719751,2021-03-30,R$ 1556.2
554496297587,CREDIT TYPE 500488,2022-04-05,R$ 8304.3
671730620024,667926 credit_card,2022-12-09,R$ 11931.7
550322955051,561571 credit ELO 495865,2022-01-26,R$ 2945.4
792030406207,52171 DEBIT 159844,2022-04-08,R$ 3843.0
634087794043,DEBIT 479217,2023-02-24,R$ 9490.1
554496297587,419915 debit card 355557,2022-05-24,R$ 10350.1
112269020567,743769 pix,2023-03-19,R$ 4483.8
916089543181,268645 Boleto,2020-01-24,R$ 7671.7
559423839138,605130 credit_card 282851,2022-05-31,R$ 9752.2
375616648160,BOLETO++ 645556,2020-08-18,R$ 7751.3
396813913637,972253 PIX 968164,2022-02-08,R$ 7671.7
554496297587,58189 credit ELO,2022-09-23,R$ 11381.2
681306632429,BOLETO++ 455991,2021-10-15,R$ 6529.3
64917395004,826493 credit,2021-08-23,R$ 386.5
457509068524,boleto 874254,2020-06-27,R$ 773.4
557477458248,DEBIT 333067,2021-06-19,R$ 8479.9
447416760995,credit 753881,2020-02-17,R$ 10037.7
375616648160,290267 debit card 28249,2022-03-22,R$ 9157.6
594284671075,78862 DEBIT 641374,2021-05-12,R$ 2968.0
246014869667,258599 boleto 496515,2022-07-19,R$ 7801.1
344181374711,pix 361624,2022-10-10,R$ 3119.5
916089543181,417036 Boleto 132168,2021-09-14,R$ 3055.1
390322188868,694948 Pix,2022-06-24,R$ 15041.1
792030406207,420301 boleto,2020-06-03,R$ 15045.8
472648277876,811485 PIX 990313,2022-10-10,R$ 11768.5
916089543181,471342 Pix 22015,2022-04-29,R$ 9221.0
241143435764,83999 boleto 132875,2023-01-31,R$ 5617.2
343866395672,458644 PIX@@,2022-04-22,R$ 1054.6
792030406207,705246 credit ELO,2023-02-23,R$ 14051.8
255541826046,982484 debit card 25249,2022-12-26,R$ 9641.2
246014869667,642441 BOLETO++ 264367,2020-11-23,R$ 5996.4
198700429310,667926 credit_card,2022-01-29,R$ 6129.3
271043982658,973555 Boleto,2020-04-17,R$ 1466.2
729179824618,792092 debit card 372652,2022-07-09,R$ 2137.4
432181322622,DEBIT 239396,2022-12-31,R$ 13097.1
580873576795,742530 BOLETO,2023-03-03,R$ 12242.0
271043982658,piX 632520,2020-10-01,R$ 3458.2
246014869667,826493 credit,2020-03-23,R$ 3118.7
298728267101,pix 361624,2021-04-18,R$ 4961.5
515648004009,credit ELO 974158,2022-08-23,R$ 3726.1
515648004009,170985 credit_card 426045,2022-11-23,R$ 6969.9
375616648160,debit card 985934,2022-03-22,R$ 14514.6
924529270294,338696 Boleto 991835,2021-12-01,R$ 5383.2
768789776296,616690 CREDIT TYPE 887386,2022-02-13,R$ 11257.4
99916484487,315994 DEBIT,2021-06-17,R$ 8670.7
556463592229,CREDIT TYPE 42959,2020-06-08,R$ 1085.0
215553816837,766217 debit card 890719,2021-01-29,R$ 4724.2
396813913637,23992 piX 917006,2020-10-29,R$ 6187.4
681306632429,830377 boleto,2022-04-28,R$ 12619.6
666005766278,BOLETO 119081,2021-10-05,R$ 15420.0
276397454361,810774 DEBIT 354820,2020-04-18,R$ 9403.8
611332772073,782698 PIX@@ 14597,2020-10-22,R$ 7633.1
94854400223,BOLETO++ 362213,2021-10-09,R$ 2319.5
271043982658,credit_card 648831,2020-11-28,R$ 5279.4
343866395672,912192 DEBIT,2022-07-01,R$ 8559.8
563249531684,377818 debit card 711009,2022-05-06,R$ 8931.7
387198526728,148012 PIX,2021-04-15,R$ 4790.7
375616648160,564962 piX,2021-06-24,R$ 5919.3
594284671075,credit_card 98311,2023-03-10,R$ 15212.1
264206396408,213638 DEBIT 26536,2020-06-07,R$ 2868.7
344181374711,570785 boleto 644795,2021-07-26,R$ 15366.4
970765234831,117767 BOLETO,2020-06-17,R$ 11818.1
31691588327,213638 DEBIT 26536,2021-05-17,R$ 6843.0
288349499752,debit card 51602,2022-03-31,R$ 2247.2
594284671075,255287 debit card 668759,2022-09-28,R$ 15507.6
94854400223,405638 credit_card 59879,2020-07-23,R$ 14300.9
288778337071,CREDIT TYPE 283837,2022-01-11,R$ 11226.4
550322955051,667926 credit_card,2020-05-19,R$ 9199.6
554496297587,317783 debit card,2020-04-09,R$ 6967.6
447416760995,CREDIT TYPE 322931,2022-08-21,R$ 6502.7
677039694449,DEBIT 333067,2021-08-24,R$ 8092.1
556463592229,debit card 194002,2021-04-27,R$ 3387.7
611332772073,839638 DEBIT,2020-12-25,R$ 9364.2
435001420498,213638 DEBIT 26536,2020-06-17,R$ 13522.5
576658664149,541429 CREDIT TYPE,2022-10-02,R$ 13318.9
408872306889,206035 Pix,2020-04-17,R$ 15112.2
727387933243,563478 BOLETO++,2020-04-25,R$ 1192.6
920013963772,BOLETO++ 455991,2022-11-03,R$ 4599.7
681306632429,800888 PIX@@ 508081,2020-10-31,R$ 10008.2
924529270294,439081 credit 532621,2022-09-30,R$ 12113.7
396813913637,670965 piX,2020-12-21,R$ 1339.2
924529270294,DEBIT 259207,2021-01-15,R$ 15316.5
144886524133,debit card 162812,2021-11-04,R$ 8222.3
554496297587,679673 Boleto 861516,2022-05-05,R$ 5959.8
634087794043,792092 debit card 372652,2021-11-30,R$ 4877.0
288349499752,debit card 74041,2020-05-24,R$ 619.4
563249531684,DEBIT 307842,2021-01-15,R$ 7929.4
264206396408,646555 debit card 152764,2021-12-22,R$ 14800.8
288349499752,907128 debit card,2020-03-05,R$ 5736.9
611332772073,261823 debit card,2020-08-02,R$ 12967.8
246014869667,128540 BOLETO++ 599579,2022-12-29,R$ 7144.7
280232672886,340502 debit card,2020-03-24,R$ 9509.0
871606777479,425120 BOLETO++,2022-12-10,R$ 8284.0
871606777479,117767 BOLETO,2022-04-26,R$ 4308.8
225005483108,583324 BOLETO 858014,2021-01-26,R$ 10259.0
537718118852,782722 debit card,2020-07-22,R$ 2268.2
576658664149,541429 CREDIT TYPE,2022-03-15,R$ 9498.7
774463871553,107574 BOLETO++ 493423,2022-12-16,R$ 2910.1
288349499752,debit card 910408,2022-11-28,R$ 891.9
387198526728,652079 CREDIT TYPE,2021-11-24,R$ 14885.8
991878575072,504002 debit card,2021-02-15,R$ 7489.1
375616648160,Pix 53626,2022-06-13,R$ 4406.5
768789776296,18941 BOLETO 805566,2022-05-22,R$ 7844.4
677039694449,10769 BOLETO++ 686157,2021-12-24,R$ 14102.4
729179824618,213638 DEBIT 26536,2022-12-17,R$ 4752.4
36738166061,899403 DEBIT 976158,2021-03-27,R$ 8225.6
457509068524,69933 debit card 165450,2023-01-10,R$ 2557.9
594284671075,DEBIT 162341,2020-01-16,R$ 11992.3
288349499752,471318 Boleto,2021-01-16,R$ 7062.4
438089492676,564962 piX,2022-05-23,R$ 14674.1
271043982658,634137 BOLETO,2022-01-04,R$ 9132.1
446039262566,389211 credit ELO,2022-12-08,R$ 11775.7
198700429310,135457 CREDIT TYPE 389784,2022-12-01,R$ 6191.3
446039262566,973555 Boleto,2021-12-12,R$ 8511.2
594284671075,BOLETO 774615,2020-04-06,R$ 6257.8
271043982658,603230 pix 486771,2023-01-18,R$ 12596.8
213868862794,credit_card 648831,2021-05-02,R$ 15445.1
569693067703,boleto 289551,2020-04-08,R$ 9772.3
285060886299,830377 boleto,2022-09-10,R$ 14021.1
198700429310,254609 DEBIT,2022-04-18,R$ 8446.6
432181322622,PIX 525177,2021-07-12,R$ 12727.2
264206396408,boleto 289551,2020-04-26,R$ 5505.4
144886524133,989544 PIX,2022-02-25,R$ 2969.1
83478781255,742530 BOLETO,2020-08-01,R$ 11250.3
671730620024,153793 BOLETO,2021-05-26,R$ 15070.0
346748702943,766217 debit card 890719,2022-07-20,R$ 6858.1
671730620024,credit 898332,2022-11-25,R$ 8095.9
457509068524,DEBIT 239396,2021-08-03,R$ 85.7
580873576795,debit card 985934,2020-04-01,R$ 3007.6
472648277876,730081 debit card,2022-03-30,R$ 13515.1
916089543181,boleto 289551,2020-11-01,R$ 114.7
524612336731,CREDIT TYPE 607988,2022-11-21,R$ 231.8
920013963772,766217 debit card 890719,2022-11-22,R$ 9859.8
806716553933,945053 Pix,2022-04-09,R$ 13591.4
112269020567,Boleto 565104,2020-10-30,R$ 14584.1
36738166061,BOLETO++ 506888,2021-12-07,R$ 1160.4
408872306889,345968 PIX@@ 148982,2020-06-09,R$ 14038.5
198700429310,361069 pix,2020-07-19,R$ 7178.5
36738166061,credit_card 391212,2023-02-23,R$ 3928.7
634087794043,debit card 48017,2021-12-14,R$ 261.6
580873576795,524063 debit card 201331,2021-10-25,R$ 2034.7
859675575665,937696 boleto 438298,2021-08-15,R$ 1811.3
213868862794,DEBIT 669119,2022-07-20,R$ 10848.0
472648277876,463784 PIX@@,2020-05-08,R$ 10696.0
144886524133,563478 BOLETO++,2023-02-17,R$ 3816.3
472648277876,361069 pix,2022-03-01,R$ 12002.6
288349499752,548593 credit ELO 568412,2021-01-24,R$ 11006.6
286257776252,563253 debit card,2021-06-11,R$ 3260.3
438089492676,credit 629960,2020-10-02,R$ 137.4
550322955051,213638 DEBIT 26536,2020-02-12,R$ 2963.9
569693067703,826493 credit,2021-12-16,R$ 8895.3
198700429310,pix 518412,2021-05-12,R$ 8199.8
280232672886,378039 credit,2021-05-30,R$ 9199.4
790761018077,23992 piX 917006,2020-05-30,R$ 6716.1
299991443154,938644 CREDIT TYPE 173361,2020-04-02,R$ 1612.1
866988917063,credit_card 98311,2022-02-07,R$ 9532.9
790761018077,572427 piX,2020-08-02,R$ 6980.2
215553816837,340502 debit card,2022-10-09,R$ 13854.9
74871225567,463959 pix,2022-02-20,R$ 14012.8
213868862794,debit card 162812,2020-12-02,R$ 3222.8
524612336731,debit card 985934,2022-06-26,R$ 10862.9
594284671075,563304 PIX@@ 718841,2022-05-22,R$ 8752.6
550322955051,358677 BOLETO++,2020-04-20,R$ 10349.8
594162829672,911948 debit card 447240,2021-04-30,R$ 9332.3
548272197141,piX 921258,2020-08-29,R$ 4442.7
447416760995,475998 CREDIT TYPE,2022-10-29,R$ 10057.6
215553816837,credit MASTERCARD 404830,2022-07-05,R$ 4047.4
94854400223,768887 BOLETO 748323,2021-01-13,R$ 13367.7
634087794043,523868 PIX@@,2021-04-08,R$ 1956.5
559423839138,572427 piX,2021-03-02,R$ 2762.2
563249531684,912192 DEBIT,2022-12-20,R$ 11746.4
246014869667,boleto 877587,2022-05-23,R$ 10608.1
548272197141,885652 DEBIT 337491,2022-06-21,R$ 13461.8
866988917063,581114 credit,2022-02-28,R$ 6073.6
396813913637,247601 pix,2020-07-25,R$ 9239.4
264206396408,DEBIT 837568,2022-09-22,R$ 12826.4
909987131450,542726 DEBIT 709727,2021-04-25,R$ 776.4
446039262566,839638 DEBIT,2020-12-12,R$ 12518.9
432181322622,boleto 336107,2022-03-27,R$ 2107.6
298728267101,768887 BOLETO 748323,2020-11-29,R$ 8146.5
344181374711,BOLETO++ 362213,2022-09-23,R$ 14885.9
